Name,Cotyledon_Color,Cotyledon_Color_RvsY,DTF_Sask_2017,DTF_Nepal_2017
CDC_Asterix_AGL,Yellow,0,54.66666667,128
CDC_Rosie_AGL,Red,1,59,123.3333333
X3156.11_AGL,Red,1,60.66666667,125.3333333
CDC_Greenstar_AGL,Yellow,0,56.66666667,121
CDC_Cherie_AGL,Red,1,54.33333333,125.3333333
CDC_Glamis_AGL,Yellow,0,59,123
CDC_Gold_AGL,Yellow,0,54,125.3333333
CDC_Imax_AGL,Red,1,53,128.6666667
CDC_Impower_AGL,Yellow,0,57,123.3333333
CDC_KR.1_AGL,Red,1,57,121.6666667
CDC_LeMay_AGL,Yellow,0,55.66666667,126.6666667
CDC_Maxim_AGL,Red,1,54.33333333,125.6666667
CDC_QG.1_AGL,Green,NA,57.66666667,126.6666667
CDC_Red_Rider_AGL,Red,1,57,123.5
CDC_Redcoat_AGL,Red,1,57.66666667,126.6666667
CDC_Redwing_AGL,Red,1,57.33333333,128.6666667
CDC_Robin_AGL,Red,1,52,124.6666667
CDC_Rosebud_AGL,Red,1,54.66666667,121.3333333
CDC_Rosetown_AGL,Red,1,57.66666667,123.6666667
CDC_Rouleau_AGL,Red,1,55.33333333,123.6666667
CDC_Royale_AGL,Green,NA,56.33333333,123.3333333
CDC_Ruby_AGL,Red,1,52.66666667,114
CDC_SB.1_AGL,Yellow,0,47.33333333,121.6666667
CDC_Sedley_AGL,Yellow,0,54.66666667,121.6666667
CDC_Vantage_AGL,Yellow,0,53.66666667,122.3333333
CN_105604_AGL,Red,1,45.66666667,110.3333333
CN_105605_AGL,NA,NA,44,117
CN_105715_AGL,NA,NA,44,119.6666667
CN_105732_AGL,Yellow,0,52.33333333,118.3333333
CN_105767_AGL,NA,NA,44.33333333,107
CN_105777_AGL,Red,1,42.33333333,97.33333333
CN_105789_AGL,Red,1,44,104.3333333
CN_105791_AGL,Red,1,45,76.66666667
CN_105862_AGL,Yellow,0,53,130.6666667
CN_105863_AGL,Yellow,0,52,129.3333333
CN_105864_AGL,Yellow,0,53,130
CN_105865_AGL,Yellow,0,52.66666667,132.6666667
CN_105895_AGL,Red,1,46,100
CN_106265_AGL,NA,NA,57,125.6666667
CN_108369_AGL,Yellow,0,54.5,122.3333333
CN_108370_AGL,Yellow,0,58,124.3333333
Crimson_AGL,Red,1,55.33333333,114
DPL_62_AGL,Red,1,42.66666667,96.33333333
Eston_AGL,Yellow,0,49,122.6666667
Gudo_AGL,Yellow,0,45.33333333,118
IG_1046_AGL,Yellow,0,47.33333333,124.3333333
IG_1706_AGL,Red,1,46,130.3333333
IG_1959_AGL,Yellow,0,47.33333333,121.6666667
IG_4258_AGL,Red,1,44.33333333,106
IG_4781_AGL,Yellow,0,54.66666667,141.6666667
IG_858_AGL,Yellow,0,48,125
ILL_10657_AGL,Red,1,44.33333333,107.6666667
ILL_10748_AGL,Yellow,0,48,96.66666667
ILL_11547_AGL,NA,NA,43.33333333,104.5
ILL_11548_AGL,Yellow,0,44.33333333,102
ILL_11553_AGL,Red,1,45.66666667,100
ILL_11555_AGL,NA,NA,44,95.33333333
ILL_11557_AGL,Yellow,0,45,95.66666667
ILL_11558_AGL,Red,1,43.33333333,96.33333333
ILL_1220_AGL,Yellow,0,47,122.3333333
ILL_1553_AGL,Yellow,0,46.66666667,114.6666667
ILL_1762_AGL,Red,1,51.66666667,132
ILL_1983_AGL,Red,1,47,107
ILL_213_AGL,Red,1,45,147.5
ILL_2194_AGL,Yellow,0,48.33333333,125.3333333
PI_431893_LSP_AGL,Red,1,50,114
ILL_2507_AGL,Red,1,44.33333333,101.6666667
ILL_2580_AGL,Red,1,43.33333333,115.6666667
ILL_28_AGL,Yellow,0,47,128
ILL_3025_AGL,Red,1,44.66666667,102.6666667
ILL_313_AGL,Yellow,0,47,127.3333333
ILL_3347_AGL,Red,1,44.66666667,102
ILL_358_AGL,Red,1,46.33333333,119.6666667
ILL_3597_AGL,Red,1,44.66666667,108.3333333
ILL_4164_AGL,Red,1,48.33333333,124
ILL_4400_AGL,Yellow,0,52,125.6666667
ILL_4605_AGL,Yellow,0,47.33333333,91.33333333
ILL_4609_AGL,Red,1,47,129
ILL_4665_AGL,Yellow,0,53.33333333,118
ILL_4671_AGL,Yellow,0,50.66666667,127.3333333
ILL_4768_AGL,Red,1,42.66666667,111.6666667
ILL_4782_AGL,Red,1,41.33333333,107.6666667
ILL_4783_AGL,Yellow,0,56,126.3333333
ILL_4804_AGL,Red,1,46,121.6666667
ILL_4875_AGL,Red,1,56.66666667,127.6666667
ILL_4956_AGL,Yellow,0,53.66666667,123.3333333
ILL_5058_AGL,Yellow,0,54.66666667,139.6666667
ILL_5151_AGL,Red,1,48,124.6666667
ILL_5209_AGL,Yellow,0,47.66666667,122.3333333
ILL_5480_AGL,Yellow,0,55,126.3333333
ILL_5639_AGL,Yellow,0,47,120.6666667
ILL_5722_AGL,Red,1,44.33333333,105.6666667
ILL_5883_AGL,Red,1,46.33333333,123.3333333
ILL_5888_AGL,Red,1,41,52.66666667
ILL_5945_AGL,Red,1,41.33333333,107.6666667
ILL_6002_AGL,Yellow,0,47,96
ILL_618_AGL,Red,1,46.66666667,120.6666667
ILL_6182_AGL,Red,1,47.33333333,119.6666667
ILL_6211_AGL,Yellow,0,46.5,94.33333333
ILL_624_AGL,Yellow,0,51.33333333,121.3333333
ILL_6821_AGL,Red,1,47,127.3333333
ILL_6853_AGL,Yellow,0,49.33333333,126.6666667
ILL_7089_AGL,Yellow,0,45.66666667,121.3333333
ILL_7558_AGL,Yellow,0,48.33333333,95
ILL_7663_AGL,Red,1,44,67
ILL_7668_AGL,Red,1,47,107.3333333
ILL_7716_AGL,Yellow,0,47,90
ILL_7747_AGL,Yellow,0,47.33333333,128.6666667
ILL_7946_AGL,Red,1,45,120.6666667
ILL_7978_AGL,Red,1,44,108.3333333
ILL_7979_AGL,Red,1,47,103.3333333
ILL_8007_AGL,Red,1,40,84.33333333
ILL_8009_AGL,Red,1,42.33333333,97
ILL_8010_AGL,Red,1,45,95
ILL_8072_AGL,Yellow,0,49,124
ILL_8174_AGL,Yellow,0,48.66666667,122.3333333
ILL_8595_AGL,Red,1,47.33333333,120.3333333
ILL_9_AGL,Yellow,0,42.33333333,109.3333333
ILL_975_AGL,Yellow,0,45.33333333,124.6666667
ILL_9888_AGL,Red,1,43.66666667,123.3333333
ILL_9932_AGL,Red,1,45,108.3333333
ILL_9945_AGL,Red,1,42.66666667,108.3333333
ILL_9977_AGL,Red,1,43.66666667,106
ILL_9997_AGL,Red,1,43.66666667,97.66666667
ILWL_118_AGL,Red,1,50,109.3333333
Indianhead_AGL,Yellow,0,61.5,127.6666667
IPL_220_AGL,Red,1,41,98
Laird_AGL,Yellow,0,57.66666667,122.3333333
LIRL.22.46_AGL,Red,1,46,78.33333333
PI_163589_AGL,Yellow,0,53.33333333,133.6666667
PI_169534_LSP_AGL,Yellow,0,53,123
PI_175754_LSP_AGL,Red,1,47.33333333,123.6666667
PI_177430_LSP_AGL,Red,1,51.33333333,127.3333333
PI_178939_LSP_AGL,Yellow,0,53.33333333,128.3333333
PI_178952_AGL,Red,1,48,120.3333333
PI_178971_LSP_AGL,Red,1,54,122.6666667
PI_179324_LSP_AGL,Red,1,49.33333333,137.3333333
PI_179330_AGL,Yellow,0,49.33333333,120.3333333
PI_181771_LSP_AGL,Red,1,52.66666667,122.3333333
PI_181886_LSP_AGL,Yellow,0,49.66666667,130.6666667
PI_182217_LSP_AGL,Red,1,47,125.3333333
PI_193546_AGL,Red,1,47.33333333,129.3333333
PI_193547_LSP_AGL,Red,1,53.33333333,125
PI_193548_LSP_AGL,Red,1,41.66666667,107
PI_193550_AGL,Red,1,40.66666667,106.6666667
PI_207492_LSP_AGL,Red,1,54,121.6666667
PI_518731_LSP_AGL,Red,1,51,123
PI_209858_LSP_AGL,Yellow,0,59.66666667,139.6666667
PI_211052_LSP_AGL,Red,1,48.33333333,132.3333333
PI_212100_LSP_AGL,Red,1,50.5,124.6666667
PI_212610_LSP_AGL,Red,1,53.66666667,123.3333333
PI_217949_LSP_AGL,Red,1,45,115.3333333
PI_238758_LSP_AGL,Yellow,0,50.66666667,122.6666667
PI_244046_AGL,Red,1,41.66666667,91
PI_250156_LSP_AGL,Red,1,49,128
PI_250158_LSP_AGL,Red,1,44.33333333,98
PI_251248_LSP_AGL,Red,1,38,82.66666667
PI_273664_LSP_AGL,Red,1,51.66666667,137.3333333
PI_280686_AGL,Red,1,44.66666667,97
PI_283604_LSP_AGL,Yellow,0,54,131.3333333
PI_289066_AGL,Yellow,0,59.33333333,142
PI_289073_LSP_AGL,Yellow,0,54,123.3333333
PI_289079_LSP_AGL,Yellow,0,55.66666667,124
PI_290716_LSP_AGL,Red,1,52,123
PI_297285_LSP_AGL,Yellow,0,54,116
PI_297287_AGL,Yellow,0,52,122.3333333
PI_297754_LSP_AGL,Yellow,0,49.5,123
PI_297767_AGL,Yellow,0,54.5,130
PI_297772_LSP_AGL,Red,1,51,131.3333333
PI_297783_AGL,Red,1,42.33333333,104.3333333
PI_297787_LSP_AGL,Red,1,48.66666667,123.3333333
PI_298023_LSP_AGL,Yellow,0,46.66666667,121
PI_298121_LSP_AGL,NA,NA,48,117.6666667
PI_298122_LSP_AGL,Yellow,0,54.33333333,122.6666667
PI_298357_LSP_AGL,Red,1,45.66666667,115.6666667
PI_298631_LSP_AGL,Yellow,0,58.33333333,130.3333333
PI_298644_LSP_AGL,Yellow,0,59.33333333,138
PI_298645_AGL,Yellow,0,54,122.6666667
PI_298921_AGL,Yellow,0,48.33333333,131.3333333
PI_298922_LSP_AGL,Red,1,52.33333333,133.3333333
PI_298923_LSP_AGL,Yellow,0,47,122.3333333
PI_299116_LSP_AGL,Yellow,0,47,119.6666667
PI_299120_LSP_AGL,Yellow,0,47.66666667,115.3333333
PI_299121_LSP_AGL,Yellow,0,46.33333333,111.6666667
PI_299126_LSP_AGL,NA,NA,44.33333333,115.3333333
PI_299163_LSP_AGL,Yellow,0,51.5,136
PI_299164_LSP_AGL,Yellow,0,48,122.3333333
PI_299165_AGL,Yellow,0,49.66666667,130.6666667
PI_299177_LSP_AGL,Yellow,0,48.33333333,126.3333333
PI_299237_LSP_AGL,Red,1,48,121
PI_299289_AGL,Red,1,50,119.6666667
PI_299312_AGL,Yellow,0,55.66666667,124
PI_299345_AGL,Yellow,0,53,132.3333333
PI_299351_LSP_AGL,Red,1,49.66666667,123
PI_299366_LSP_AGL,Yellow,0,47.33333333,131.3333333
PI_299375_LSP_AGL,Yellow,0,50.33333333,130
PI_300250_LSP_AGL,Red,1,48,132
PI_302398_LSP_AGL,Yellow,0,45.33333333,120.6666667
PI_308614_LSP_AGL,Red,1,51.66666667,135.6666667
PI_311107_LSP_AGL,Yellow,0,53,136.6666667
PI_312175_LSP_AGL,Yellow,0,56,130
PI_320935_LSP_AGL,Red,1,45,125
PI_320936_LSP_AGL,Red,1,52.33333333,107.6666667
PI_320937_LSP_AGL,Yellow,0,59.33333333,121.6666667
CN_105866_AGL,NA,NA,54.33333333,138
PI_320941_LSP_AGL,Yellow,0,50,136
PI_320945_LSP_AGL,Red,1,51.33333333,133
PI_320946_LSP_AGL,Yellow,0,48,125.3333333
PI_320952_LSP_AGL,Yellow,0,61.66666667,128.6666667
PI_320953_LSP_AGL,Red,1,59.33333333,137.3333333
PI_320954_LSP_AGL,Yellow,0,54.66666667,123.3333333
PI_329157_LSP_AGL,Yellow,0,46.66666667,121.6666667
PI_329167_LSP_AGL,Yellow,0,49,119
PI_339266_LSP_AGL,Yellow,0,43,120.6666667
PI_339283_LSP_AGL,Red,1,50,128.3333333
PI_339285_AGL,Red,1,48.66666667,143
PI_339289_LSP_AGL,Yellow,0,45,121
PI_339292_LSP_AGL,Red,1,46.33333333,118
PI_339296_AGL,Red,1,46.33333333,119
PI_343026_LSP_AGL,Red,1,47.66666667,118
PI_345627_LSP_AGL,Yellow,0,59,125.6666667
PI_358602_LSP_AGL,Red,1,53,125.3333333
PI_368647_LSP_AGL,Yellow,0,53,127.3333333
PI_368651_LSP_AGL,Red,1,53,126
PI_370481_LSP_AGL,Yellow,0,53.33333333,138
PI_374116_LSP_AGL,Yellow,0,54.33333333,120.6666667
PI_374117_LSP_AGL,Yellow,0,48,124
PI_374118_AGL,Red,1,47.66666667,122.6666667
PI_374120_LSP_AGL,NA,NA,56.66666667,121.3333333
PI_374121_AGL,Yellow,0,50.66666667,121.6666667
PI_379368_LSP_AGL,Yellow,0,50,122.6666667
PI_383682_LSP_AGL,Red,1,48.33333333,122
PI_420818_AGL,Yellow,0,51.66666667,130.6666667
PI_420924_LSP_AGL,Yellow,0,47.66666667,124.3333333
PI_420925_LSP_AGL,Red,1,48,124.6666667
PI_420929_LSP_AGL,Red,1,50.33333333,127
PI_426202_LSP_AGL,Red,1,48,128.6666667
PI_426778_LSP_AGL,Yellow,0,49.33333333,121.3333333
PI_426784_LSP_AGL,Red,1,46.33333333,102
PI_426797_LSP_AGL,Red,1,44.33333333,102.3333333
PI_426807_LSP_AGL,Red,1,45.66666667,124.3333333
PI_431618_LSP_AGL,Yellow,0,49,120.6666667
PI_431622_LSP_AGL,Yellow,0,52,125.6666667
PI_431630_LSP_AGL,Red,1,48.66666667,136.3333333
PI_431633_LSP_AGL,Yellow,0,47.33333333,117
PI_431636_LSP_AGL,Yellow,0,47.33333333,123.6666667
PI_431643_LSP_AGL,Yellow,0,45.33333333,121.6666667
PI_431662_LSP_AGL,Red,1,50,122.6666667
PI_431663_LSP_AGL,Yellow,0,48,126
PI_431679_LSP_AGL,Red,1,53,125.3333333
PI_431684_LSP_AGL,Red,1,49,127.3333333
PI_431705_LSP_AGL,Yellow,0,48,116.3333333
PI_431710_LSP_AGL,Yellow,0,50.33333333,119
PI_431714_LSP_AGL,Yellow,0,51,120.6666667
PI_431717_LSP_AGL,Yellow,0,50.33333333,126.6666667
PI_431728_LSP_AGL,Yellow,0,50.33333333,119
PI_431731_LSP_AGL,Yellow,0,50,121.6666667
PI_431739_LSP_AGL,Yellow,0,47.66666667,116.6666667
PI_431753_LSP_AGL,Yellow,0,48,119.6666667
PI_431756_LSP_AGL,Yellow,0,49.33333333,123
PI_431809_LSP_AGL,Yellow,0,47.5,133.3333333
PI_431824_LSP_AGL,Yellow,0,45.33333333,122.3333333
PI_431863_LSP_AGL,Yellow,0,50.66666667,125
PI_431873_LSP_AGL,Red,1,48.66666667,131.3333333
PI_431884_LSP_AGL,Yellow,0,45.66666667,122.6666667
PI_431888_LSP_AGL,Yellow,0,49.33333333,128.6666667
PI_431923_LSP_AGL,Red,1,52.66666667,136.6666667
PI_431980_LSP_AGL,Yellow,0,46.66666667,120
PI_432000_LSP_AGL,Red,1,47,132.3333333
PI_432001_LSP_AGL,Yellow,0,47,123.6666667
PI_432002_LSP_AGL,Red,1,49.66666667,135
PI_432005_LSP_AGL,Yellow,0,47.66666667,122.3333333
PI_432028_LSP_AGL,Yellow,0,50.66666667,124.6666667
PI_432033_LSP_AGL,Yellow,0,50.66666667,124
PI_432085_LSP_AGL,Yellow,0,46,120.6666667
PI_432106_LSP_AGL,Yellow,0,48.66666667,123.3333333
PI_432124_LSP_AGL,Red,1,47.66666667,122
PI_432145_LSP_AGL,Yellow,0,53.33333333,122.6666667
PI_432147_LSP_AGL,Yellow,0,49.33333333,125.6666667
PI_432184_LSP_AGL,Yellow,0,46,116.3333333
PI_432188_LSP_AGL,Yellow,0,46.33333333,116.6666667
PI_432190_LSP_AGL,Yellow,0,54,121.6666667
PI_432201_LSP_AGL,Red,1,52,119.6666667
PI_432212_LSP_AGL,Red,1,48.33333333,122.3333333
PI_432236_LSP_AGL,Red,1,49.33333333,122
PI_432245_LSP_AGL,Yellow,0,44.66666667,116
PI_432271_LSP_AGL,Red,1,55.33333333,122.6666667
PI_432286_LSP_AGL,Red,1,52.66666667,135
PI_451763_LSP_AGL,Yellow,0,46,119.6666667
PI_458503_LSP_AGL,Yellow,0,49,120.6666667
PI_468900_LSP_AGL,Yellow,0,51.66666667,122.6666667
PI_468901_AGL,Red,1,60.33333333,128.3333333
PI_468902_LSP_AGL,NA,NA,47.66666667,118.3333333
PI_472136_LSP_AGL,Red,1,43.33333333,98.66666667
PI_472205_LSP_AGL,Red,1,44.33333333,90
PI_472213_LSP_AGL,Red,1,47.33333333,123
PI_472327_LSP_AGL,Red,1,44,100
PI_472380_LSP_AGL,Red,1,44,98.33333333
PI_472416_LSP_AGL,Red,1,46,108.3333333
PI_472488_LSP_AGL,Red,1,44.33333333,104.3333333
PI_472559_LSP_AGL,Red,1,43.33333333,102.6666667
PI_472561_LSP_AGL,Red,1,45.66666667,102.6666667
PI_472569_LSP_AGL,Red,1,43.5,105
PI_472588_LSP_AGL,Yellow,0,49.66666667,124
PI_472590_LSP_AGL,Yellow,0,48,123
PI_472615_LSP_AGL,Yellow,0,45.66666667,119
PI_472629_LSP_AGL,Yellow,0,46.33333333,118
PI_477921_LSP_AGL,NA,NA,47.33333333,121
PI_490288_LSP_AGL,Yellow,0,54.66666667,123.3333333
PI_490289_LSP_AGL,Yellow,0,48.33333333,121.3333333
PI_508090_AGL,Yellow,0,46.33333333,120.6666667
PI_518733_LSP_AGL,Red,1,59.33333333,121.6666667
PI_518734_LSP_AGL,Red,1,60.33333333,123
PI_533688_LSP_AGL,Yellow,0,53.33333333,139
PI_533693_LSP_AGL,Yellow,0,54.66666667,123.3333333
PI_612875_AGL,Red,1,45,116.6666667
PI_643451_AGL,Red,1,46,108.3333333
PI_643452_AGL,Red,1,44,108.6666667
Shasta_AGL,Yellow,0,50,119.5
W6_27754_LSP_AGL,Yellow,0,58,126.6666667
W6_27760_LSP_AGL,Red,1,53.33333333,113.6666667
W6_27763_LSP_AGL,Red,1,46.33333333,125.3333333
W6_27766_LSP_AGL,Red,1,47,106.3333333
W6_27767_LSP_AGL,Red,1,49.33333333,129.3333333
