Name,DTF_Sask_2017,DTF_Nepal_2017,Cotyledon_RedvsYellow
CDC_Asterix_AGL,54.7,128,0
CDC_Rosie_AGL,59,123.3,1
X3156.11_AGL,60.7,125.3,1
CDC_Greenstar_AGL,56.7,121,0
CDC_Cherie_AGL,54.3,125.3,1
CDC_Glamis_AGL,59,123,0
CDC_Gold_AGL,54,125.3,0
CDC_Imax_AGL,53,128.7,1
CDC_Impower_AGL,57,123.3,0
CDC_KR.1_AGL,57,121.7,1
CDC_LeMay_AGL,55.7,126.7,0
CDC_Maxim_AGL,54.3,125.7,1
CDC_QG.1_AGL,57.7,126.7,NA
CDC_Red_Rider_AGL,57,123.5,1
CDC_Redcoat_AGL,57.7,126.7,1
CDC_Redwing_AGL,57.3,128.7,1
CDC_Robin_AGL,52,124.7,1
CDC_Rosebud_AGL,54.7,121.3,1
CDC_Rosetown_AGL,57.7,123.7,1
CDC_Rouleau_AGL,55.3,123.7,1
CDC_Royale_AGL,56.3,123.3,NA
CDC_Ruby_AGL,52.7,114,1
CDC_SB.1_AGL,47.3,121.7,0
CDC_Sedley_AGL,54.7,121.7,0
CDC_Vantage_AGL,53.7,122.3,0
CN_105604_AGL,45.7,110.3,1
CN_105605_AGL,44,117,NA
CN_105715_AGL,44,119.7,NA
CN_105732_AGL,52.3,118.3,0
CN_105767_AGL,44.3,107,NA
CN_105777_AGL,42.3,97.3,1
CN_105789_AGL,44,104.3,1
CN_105791_AGL,45,76.7,1
CN_105862_AGL,53,130.7,0
CN_105863_AGL,52,129.3,0
CN_105864_AGL,53,130,0
CN_105865_AGL,52.7,132.7,0
CN_105895_AGL,46,100,1
CN_106265_AGL,57,125.7,NA
CN_108369_AGL,54.5,122.3,0
CN_108370_AGL,58,124.3,0
Crimson_AGL,55.3,114,1
DPL_62_AGL,42.7,96.3,1
Eston_AGL,49,122.7,0
Gudo_AGL,45.3,118,0
IG_1046_AGL,47.3,124.3,0
IG_1706_AGL,46,130.3,1
IG_1959_AGL,47.3,121.7,0
IG_4258_AGL,44.3,106,1
IG_4781_AGL,54.7,141.7,0
IG_858_AGL,48,125,0
ILL_10657_AGL,44.3,107.7,1
ILL_10748_AGL,48,96.7,0
ILL_11547_AGL,43.3,104.5,NA
ILL_11548_AGL,44.3,102,0
ILL_11553_AGL,45.7,100,1
ILL_11555_AGL,44,95.3,NA
ILL_11557_AGL,45,95.7,0
ILL_11558_AGL,43.3,96.3,1
ILL_1220_AGL,47,122.3,0
ILL_1553_AGL,46.7,114.7,0
ILL_1762_AGL,51.7,132,1
ILL_1983_AGL,47,107,1
ILL_213_AGL,45,147.5,1
ILL_2194_AGL,48.3,125.3,0
PI_431893_LSP_AGL,50,114,1
ILL_2507_AGL,44.3,101.7,1
ILL_2580_AGL,43.3,115.7,1
ILL_28_AGL,47,128,0
ILL_3025_AGL,44.7,102.7,1
ILL_313_AGL,47,127.3,0
ILL_3347_AGL,44.7,102,1
ILL_358_AGL,46.3,119.7,1
ILL_3597_AGL,44.7,108.3,1
ILL_4164_AGL,48.3,124,1
ILL_4400_AGL,52,125.7,0
ILL_4605_AGL,47.3,91.3,0
ILL_4609_AGL,47,129,1
ILL_4665_AGL,53.3,118,0
ILL_4671_AGL,50.7,127.3,0
ILL_4768_AGL,42.7,111.7,1
ILL_4782_AGL,41.3,107.7,1
ILL_4783_AGL,56,126.3,0
ILL_4804_AGL,46,121.7,1
ILL_4875_AGL,56.7,127.7,1
ILL_4956_AGL,53.7,123.3,0
ILL_5058_AGL,54.7,139.7,0
ILL_5151_AGL,48,124.7,1
ILL_5209_AGL,47.7,122.3,0
ILL_5480_AGL,55,126.3,0
ILL_5639_AGL,47,120.7,0
ILL_5722_AGL,44.3,105.7,1
ILL_5883_AGL,46.3,123.3,1
ILL_5888_AGL,41,52.7,1
ILL_5945_AGL,41.3,107.7,1
ILL_6002_AGL,47,96,0
ILL_618_AGL,46.7,120.7,1
ILL_6182_AGL,47.3,119.7,1
ILL_6211_AGL,46.5,94.3,0
ILL_624_AGL,51.3,121.3,0
ILL_6821_AGL,47,127.3,1
ILL_6853_AGL,49.3,126.7,0
ILL_7089_AGL,45.7,121.3,0
ILL_7558_AGL,48.3,95,0
ILL_7663_AGL,44,67,1
ILL_7668_AGL,47,107.3,1
ILL_7716_AGL,47,90,0
ILL_7747_AGL,47.3,128.7,0
ILL_7946_AGL,45,120.7,1
ILL_7978_AGL,44,108.3,1
ILL_7979_AGL,47,103.3,1
ILL_8007_AGL,40,84.3,1
ILL_8009_AGL,42.3,97,1
ILL_8010_AGL,45,95,1
ILL_8072_AGL,49,124,0
ILL_8174_AGL,48.7,122.3,0
ILL_8595_AGL,47.3,120.3,1
ILL_9_AGL,42.3,109.3,0
ILL_975_AGL,45.3,124.7,0
ILL_9888_AGL,43.7,123.3,1
ILL_9932_AGL,45,108.3,1
ILL_9945_AGL,42.7,108.3,1
ILL_9977_AGL,43.7,106,1
ILL_9997_AGL,43.7,97.7,1
ILWL_118_AGL,50,109.3,1
Indianhead_AGL,61.5,127.7,0
IPL_220_AGL,41,98,1
Laird_AGL,57.7,122.3,0
LIRL.22.46_AGL,46,78.3,1
PI_163589_AGL,53.3,133.7,0
PI_169534_LSP_AGL,53,123,0
PI_175754_LSP_AGL,47.3,123.7,1
PI_177430_LSP_AGL,51.3,127.3,1
PI_178939_LSP_AGL,53.3,128.3,0
PI_178952_AGL,48,120.3,1
PI_178971_LSP_AGL,54,122.7,1
PI_179324_LSP_AGL,49.3,137.3,1
PI_179330_AGL,49.3,120.3,0
PI_181771_LSP_AGL,52.7,122.3,1
PI_181886_LSP_AGL,49.7,130.7,0
PI_182217_LSP_AGL,47,125.3,1
PI_193546_AGL,47.3,129.3,1
PI_193547_LSP_AGL,53.3,125,1
PI_193548_LSP_AGL,41.7,107,1
PI_193550_AGL,40.7,106.7,1
PI_207492_LSP_AGL,54,121.7,1
PI_518731_LSP_AGL,51,123,1
PI_209858_LSP_AGL,59.7,139.7,0
PI_211052_LSP_AGL,48.3,132.3,1
PI_212100_LSP_AGL,50.5,124.7,1
PI_212610_LSP_AGL,53.7,123.3,1
PI_217949_LSP_AGL,45,115.3,1
PI_238758_LSP_AGL,50.7,122.7,0
PI_244046_AGL,41.7,91,1
PI_250156_LSP_AGL,49,128,1
PI_250158_LSP_AGL,44.3,98,1
PI_251248_LSP_AGL,38,82.7,1
PI_273664_LSP_AGL,51.7,137.3,1
PI_280686_AGL,44.7,97,1
PI_283604_LSP_AGL,54,131.3,0
PI_289066_AGL,59.3,142,0
PI_289073_LSP_AGL,54,123.3,0
PI_289079_LSP_AGL,55.7,124,0
PI_290716_LSP_AGL,52,123,1
PI_297285_LSP_AGL,54,116,0
PI_297287_AGL,52,122.3,0
PI_297754_LSP_AGL,49.5,123,0
PI_297767_AGL,54.5,130,0
PI_297772_LSP_AGL,51,131.3,1
PI_297783_AGL,42.3,104.3,1
PI_297787_LSP_AGL,48.7,123.3,1
PI_298023_LSP_AGL,46.7,121,0
PI_298121_LSP_AGL,48,117.7,NA
PI_298122_LSP_AGL,54.3,122.7,0
PI_298357_LSP_AGL,45.7,115.7,1
PI_298631_LSP_AGL,58.3,130.3,0
PI_298644_LSP_AGL,59.3,138,0
PI_298645_AGL,54,122.7,0
PI_298921_AGL,48.3,131.3,0
PI_298922_LSP_AGL,52.3,133.3,1
PI_298923_LSP_AGL,47,122.3,0
PI_299116_LSP_AGL,47,119.7,0
PI_299120_LSP_AGL,47.7,115.3,0
PI_299121_LSP_AGL,46.3,111.7,0
PI_299126_LSP_AGL,44.3,115.3,NA
PI_299163_LSP_AGL,51.5,136,0
PI_299164_LSP_AGL,48,122.3,0
PI_299165_AGL,49.7,130.7,0
PI_299177_LSP_AGL,48.3,126.3,0
PI_299237_LSP_AGL,48,121,1
PI_299289_AGL,50,119.7,1
PI_299312_AGL,55.7,124,0
PI_299345_AGL,53,132.3,0
PI_299351_LSP_AGL,49.7,123,1
PI_299366_LSP_AGL,47.3,131.3,0
PI_299375_LSP_AGL,50.3,130,0
PI_300250_LSP_AGL,48,132,1
PI_302398_LSP_AGL,45.3,120.7,0
PI_308614_LSP_AGL,51.7,135.7,1
PI_311107_LSP_AGL,53,136.7,0
PI_312175_LSP_AGL,56,130,0
PI_320935_LSP_AGL,45,125,1
PI_320936_LSP_AGL,52.3,107.7,1
PI_320937_LSP_AGL,59.3,121.7,0
CN_105866_AGL,54.3,138,NA
PI_320941_LSP_AGL,50,136,0
PI_320945_LSP_AGL,51.3,133,1
PI_320946_LSP_AGL,48,125.3,0
PI_320952_LSP_AGL,61.7,128.7,0
PI_320953_LSP_AGL,59.3,137.3,1
PI_320954_LSP_AGL,54.7,123.3,0
PI_329157_LSP_AGL,46.7,121.7,0
PI_329167_LSP_AGL,49,119,0
PI_339266_LSP_AGL,43,120.7,0
PI_339283_LSP_AGL,50,128.3,1
PI_339285_AGL,48.7,143,1
PI_339289_LSP_AGL,45,121,0
PI_339292_LSP_AGL,46.3,118,1
PI_339296_AGL,46.3,119,1
PI_343026_LSP_AGL,47.7,118,1
PI_345627_LSP_AGL,59,125.7,0
PI_358602_LSP_AGL,53,125.3,1
PI_368647_LSP_AGL,53,127.3,0
PI_368651_LSP_AGL,53,126,1
PI_370481_LSP_AGL,53.3,138,0
PI_374116_LSP_AGL,54.3,120.7,0
PI_374117_LSP_AGL,48,124,0
PI_374118_AGL,47.7,122.7,1
PI_374120_LSP_AGL,56.7,121.3,NA
PI_374121_AGL,50.7,121.7,0
PI_379368_LSP_AGL,50,122.7,0
PI_383682_LSP_AGL,48.3,122,1
PI_420818_AGL,51.7,130.7,0
PI_420924_LSP_AGL,47.7,124.3,0
PI_420925_LSP_AGL,48,124.7,1
PI_420929_LSP_AGL,50.3,127,1
PI_426202_LSP_AGL,48,128.7,1
PI_426778_LSP_AGL,49.3,121.3,0
PI_426784_LSP_AGL,46.3,102,1
PI_426797_LSP_AGL,44.3,102.3,1
PI_426807_LSP_AGL,45.7,124.3,1
PI_431618_LSP_AGL,49,120.7,0
PI_431622_LSP_AGL,52,125.7,0
PI_431630_LSP_AGL,48.7,136.3,1
PI_431633_LSP_AGL,47.3,117,0
PI_431636_LSP_AGL,47.3,123.7,0
PI_431643_LSP_AGL,45.3,121.7,0
PI_431662_LSP_AGL,50,122.7,1
PI_431663_LSP_AGL,48,126,0
PI_431679_LSP_AGL,53,125.3,1
PI_431684_LSP_AGL,49,127.3,1
PI_431705_LSP_AGL,48,116.3,0
PI_431710_LSP_AGL,50.3,119,0
PI_431714_LSP_AGL,51,120.7,0
PI_431717_LSP_AGL,50.3,126.7,0
PI_431728_LSP_AGL,50.3,119,0
PI_431731_LSP_AGL,50,121.7,0
PI_431739_LSP_AGL,47.7,116.7,0
PI_431753_LSP_AGL,48,119.7,0
PI_431756_LSP_AGL,49.3,123,0
PI_431809_LSP_AGL,47.5,133.3,0
PI_431824_LSP_AGL,45.3,122.3,0
PI_431863_LSP_AGL,50.7,125,0
PI_431873_LSP_AGL,48.7,131.3,1
PI_431884_LSP_AGL,45.7,122.7,0
PI_431888_LSP_AGL,49.3,128.7,0
PI_431923_LSP_AGL,52.7,136.7,1
PI_431980_LSP_AGL,46.7,120,0
PI_432000_LSP_AGL,47,132.3,1
PI_432001_LSP_AGL,47,123.7,0
PI_432002_LSP_AGL,49.7,135,1
PI_432005_LSP_AGL,47.7,122.3,0
PI_432028_LSP_AGL,50.7,124.7,0
PI_432033_LSP_AGL,50.7,124,0
PI_432085_LSP_AGL,46,120.7,0
PI_432106_LSP_AGL,48.7,123.3,0
PI_432124_LSP_AGL,47.7,122,1
PI_432145_LSP_AGL,53.3,122.7,0
PI_432147_LSP_AGL,49.3,125.7,0
PI_432184_LSP_AGL,46,116.3,0
PI_432188_LSP_AGL,46.3,116.7,0
PI_432190_LSP_AGL,54,121.7,0
PI_432201_LSP_AGL,52,119.7,1
PI_432212_LSP_AGL,48.3,122.3,1
PI_432236_LSP_AGL,49.3,122,1
PI_432245_LSP_AGL,44.7,116,0
PI_432271_LSP_AGL,55.3,122.7,1
PI_432286_LSP_AGL,52.7,135,1
PI_451763_LSP_AGL,46,119.7,0
PI_458503_LSP_AGL,49,120.7,0
PI_468900_LSP_AGL,51.7,122.7,0
PI_468901_AGL,60.3,128.3,1
PI_468902_LSP_AGL,47.7,118.3,NA
PI_472136_LSP_AGL,43.3,98.7,1
PI_472205_LSP_AGL,44.3,90,1
PI_472213_LSP_AGL,47.3,123,1
PI_472327_LSP_AGL,44,100,1
PI_472380_LSP_AGL,44,98.3,1
PI_472416_LSP_AGL,46,108.3,1
PI_472488_LSP_AGL,44.3,104.3,1
PI_472559_LSP_AGL,43.3,102.7,1
PI_472561_LSP_AGL,45.7,102.7,1
PI_472569_LSP_AGL,43.5,105,1
PI_472588_LSP_AGL,49.7,124,0
PI_472590_LSP_AGL,48,123,0
PI_472615_LSP_AGL,45.7,119,0
PI_472629_LSP_AGL,46.3,118,0
PI_477921_LSP_AGL,47.3,121,NA
PI_490288_LSP_AGL,54.7,123.3,0
PI_490289_LSP_AGL,48.3,121.3,0
PI_508090_AGL,46.3,120.7,0
PI_518733_LSP_AGL,59.3,121.7,1
PI_518734_LSP_AGL,60.3,123,1
PI_533688_LSP_AGL,53.3,139,0
PI_533693_LSP_AGL,54.7,123.3,0
PI_612875_AGL,45,116.7,1
PI_643451_AGL,46,108.3,1
PI_643452_AGL,44,108.7,1
Shasta_AGL,50,119.5,0
W6_27754_LSP_AGL,58,126.7,0
W6_27760_LSP_AGL,53.3,113.7,1
W6_27763_LSP_AGL,46.3,125.3,1
W6_27766_LSP_AGL,47,106.3,1
W6_27767_LSP_AGL,49.3,129.3,1
